ID,Data Size,BW,Lat
1,4,0.000375,10.679194
2,8,0.000754,10.609396
3,16,0.001493,10.716778
4,32,0.003018,10.604026
5,64,0.006029,10.614764
6,128,0.011944,10.716778
7,256,0.024130,10.609396
8,512,0.048259,10.609396
9,1024,0.088133,11.618792
10,2048,0.169303,12.096644
11,4096,0.316942,12.923490
12,8192,0.495055,16.547651
13,16384,0.868142,18.872482
14,32768,1.326459,24.703356
15,65536,1.825072,35.908726
16,131072,2.228200,58.824162
17,262144,2.484698,105.503349
18,524288,2.627648,199.527512
19,1048576,2.745909,381.868439
20,2097152,2.740765,765.170410
21,4194304,2.820513,1487.071045
